date,open,high,low,close,volume
2025-04-16 09:00:00,50000,50400,48000,48050,537868
2025-04-17 09:00:00,47750,48800,47750,48400,382780
2025-04-18 09:00:00,48550,48850,47500,48000,406238
2025-04-21 09:00:00,47550,48450,47350,47400,359895
2025-04-22 09:00:00,47150,48300,46800,47250,360719
2025-04-23 09:00:00,48250,49750,48000,49600,720360
2025-04-24 09:00:00,50400,50600,49200,50100,538866
2025-04-25 09:00:00,50500,52500,49900,51000,852234
2025-04-28 09:00:00,52000,54100,51300,51500,909029
2025-04-29 09:00:00,52300,52500,50000,51100,489857
2025-04-30 09:00:00,51300,51300,49650,51000,796552
2025-05-02 09:00:00,50000,50900,49500,50200,375866
2025-05-07 09:00:00,50600,50900,47950,48400,742958
2025-05-08 09:00:00,48450,49100,48000,48650,487153
2025-05-09 09:00:00,48900,49000,47050,47150,523288
2025-05-12 09:00:00,47450,47750,47150,47700,522658
2025-05-13 09:00:00,48250,49100,46900,46950,583073
2025-05-14 09:00:00,47000,47200,44950,46900,897935
2025-05-15 09:00:00,46700,46800,45650,45650,370852
2025-05-16 09:00:00,45650,45950,44050,44050,535686
2025-05-19 09:00:00,43150,44500,43100,44100,480217
2025-05-20 09:00:00,44300,44450,41000,41200,848559
2025-05-21 09:00:00,41150,42550,41000,41000,640834
2025-05-22 09:00:00,41050,41950,39600,41300,845782
2025-05-23 09:00:00,41550,41800,39200,39300,764511
2025-05-26 09:00:00,39050,40650,39050,39500,838977
2025-05-27 09:00:00,39200,39450,37750,38350,665029
2025-05-28 09:00:00,38750,41400,38350,40900,1423135
2025-05-29 09:00:00,41100,44250,40100,43050,2143367
2025-05-30 09:00:00,42700,43200,41450,42800,1271592
2025-06-02 09:00:00,42900,44700,41900,42100,882100
2025-06-04 09:00:00,43050,45100,43050,43700,1327121
2025-06-05 09:00:00,43800,45750,43050,45350,908761
2025-06-09 09:00:00,44850,45250,43550,44300,675804
2025-06-10 09:00:00,44800,45000,43600,44200,535924
2025-06-11 09:00:00,44550,45350,44150,44450,613754
2025-06-12 09:00:00,44250,46500,44250,44800,1236590
2025-06-13 09:00:00,44550,44700,42550,42850,707979
2025-06-16 09:00:00,42150,43100,41550,42100,452980
2025-06-17 09:00:00,42350,43000,41400,41550,560646
2025-06-18 09:00:00,41700,42750,41500,41800,460963
2025-06-19 09:00:00,42200,42550,41100,41300,515442
2025-06-20 09:00:00,41400,44800,41000,44250,1571903
2025-06-23 09:00:00,43000,43350,42100,42850,649456
2025-06-24 09:00:00,44300,50500,44300,48900,3519746
2025-06-25 09:00:00,48450,48650,47350,48000,970352
2025-06-26 09:00:00,48900,49100,46850,47350,787823
2025-06-27 09:00:00,47300,47500,44650,44950,807129
2025-06-30 09:00:00,45250,46300,44650,45150,584486
2025-07-01 09:00:00,45250,46450,44750,45500,708583
2025-07-02 09:00:00,45150,45700,44700,45650,405636
2025-07-03 09:00:00,46350,48550,46050,48100,1347139
2025-07-04 09:00:00,47550,47700,46600,46850,557597
2025-07-07 09:00:00,47300,47850,45150,45200,566169
2025-07-08 09:00:00,45200,45900,44500,44900,448922
2025-07-09 09:00:00,45400,45800,44550,44800,381876
2025-07-10 09:00:00,45250,45350,44650,45300,460539
2025-07-11 09:00:00,45800,48250,45650,47200,1483975
2025-07-14 09:00:00,47800,49300,46400,47800,970963
2025-07-15 09:00:00,47650,48100,47000,47200,515420
2025-07-16 09:00:00,47000,47450,46050,46100,374233
2025-07-17 09:00:00,47150,48300,46200,46600,627501
2025-07-18 09:00:00,47500,49550,47350,48450,2148618
2025-07-21 09:00:00,48650,50200,48300,49600,1147605
2025-07-22 09:00:00,50200,50300,47650,47700,878043
2025-07-23 09:00:00,48700,48750,46800,48000,520211
2025-07-24 09:00:00,48100,49400,47900,48750,675847
2025-07-25 09:00:00,48600,52400,48100,50800,2119639
2025-07-28 09:00:00,51400,52800,50300,51900,1138592
2025-07-29 09:00:00,51000,51000,49900,49900,721467
2025-07-30 09:00:00,49950,51600,49500,51000,765856
2025-07-31 09:00:00,52100,52100,49000,49300,963424
2025-08-01 09:00:00,48750,49950,47650,47700,657619
2025-08-04 09:00:00,48250,48700,47450,48000,326479
2025-08-05 09:00:00,48400,53800,48400,52100,2182627
2025-08-06 09:00:00,52400,53800,51000,51900,1360405
2025-08-07 09:00:00,52600,52600,51000,51900,476041
2025-08-08 09:00:00,52000,53000,51700,52000,488052
2025-08-11 09:00:00,53000,54900,53000,54500,1430799
2025-08-12 09:00:00,53800,59400,53400,57100,2793008
2025-08-13 09:00:00,58500,58500,56600,57200,803481
2025-08-14 09:00:00,57700,59000,57200,58600,924021
2025-08-18 09:00:00,59000,59400,56100,56100,736504
2025-08-19 09:00:00,56800,57800,55600,56500,612230
2025-08-20 09:00:00,54700,56700,54600,55100,604280
2025-08-21 09:00:00,55200,55300,53600,54300,546866
2025-08-22 09:00:00,53900,54500,53300,53700,311691
2025-08-25 09:00:00,55100,55900,54400,55200,441214
2025-08-26 09:00:00,55300,55700,54700,55500,455783
2025-08-27 09:00:00,55900,57100,54800,55000,580856
2025-08-28 09:00:00,55500,55700,52500,52500,731061
2025-08-29 09:00:00,52600,52700,50500,50600,688283
2025-09-01 09:00:00,50200,51100,49700,49900,369736
2025-09-02 09:00:00,50300,50400,49450,50300,291163
2025-09-03 09:00:00,50100,50400,49700,49900,250529
2025-09-04 09:00:00,51200,51200,49900,50100,310131
2025-09-05 09:00:00,50600,50700,49750,49800,304167
2025-09-08 09:00:00,49000,50300,49000,49600,319023
2025-09-09 09:00:00,49750,50100,49300,49600,332898
2025-09-10 09:00:00,49350,49550,48300,49200,736840
2025-09-11 09:00:00,49300,49500,48550,48600,781656
2025-09-12 09:00:00,49250,49650,49100,49100,807056
